DEPINS,BKCLASS,SCMTGBK,REPDTE,DEPDOM,ASSET,DEP,NAME,SC,DEPUNINS,SCUST,CHBAL,CERT,LNLSNET,BRO,ID,INSFDIC,INSDIF,cash_ratio,treasury_ratio,size_bin
20712000,SM,41862000.0,20241231,202923000,348989000,266945000,STATE STREET BANK&TRUST CO,106233000,202356000,28555000,115581000,14,43201000,16888000.0,14_20241231,1,1,0.5695805798258453,0.710298980401433,>=100bn
537979,SM,155360.0,20241231,896825,976852,896825,AUBURNBANK,243012,359676,0,56154,35,557146,0.0,35_20241231,1,1,0.06261422239567363,0.06261422239567363,<1bn
287423,NM,13508.0,20241231,412206,466500,412206,ROBERTSON BANKING CO,100144,125235,4987,20219,39,321549,253.0,39_20241231,1,1,0.04905071735976672,0.06114903713191948,<1bn
143698,NM,17181.0,20241231,303329,309995,303329,PHENIX-GIRARD BANK,171613,159962,19203,51717,41,75881,0.0,41_20241231,1,1,0.1704980400818913,0.2338055378813104,<1bn
52585,NM,5747.0,20241231,68383,77436,68383,BANK OF EVERGREEN,33409,16068,1211,8072,49,30922,4088.0,49_20241231,1,1,0.1180410335902198,0.13575011333226095,<1bn
160633,NM,23317.0,20241231,192178,209453,192178,COMMUNITY SPIRIT BANK,42616,32653,0,22382,50,131254,0.0,50_20241231,1,1,0.11646494395820542,0.11646494395820542,<1bn
247595,NM,17128.0,20241231,302019,363582,302019,BANK OF VERNON,53344,56142,6065,64361,51,234855,373.0,51_20241231,1,1,0.21310248692963024,0.23318400497981914,<1bn
183720,NM,5687.0,20241231,229551,270958,229551,CITIZENS BANK OF WINFIELD,136341,47549,0,15226,52,89321,35554.0,52_20241231,1,1,0.06632948669358879,0.06632948669358879,<1bn
233046,NM,37073.0,20241231,335004,382173,335004,EXCHANGE BANK OF ALABAMA,114889,103165,0,19192,54,204826,0.0,54_20241231,1,1,0.057288868192618594,0.057288868192618594,<1bn
713297,NM,142224.0,20241231,1168170,1394003,1168170,UNITED BANK,265785,456012,0,156395,58,860875,0.0,58_20241231,1,1,0.1338803427583314,0.1338803427583314,1-10bn
67268,NM,12633.0,20241231,83654,93855,83654,PEOPLES EXCHANGE BANK,24406,16513,0,3896,70,54795,3225.0,70_20241231,1,1,0.04657278791211419,0.04657278791211419,<1bn
376058,SM,50362.0,20241231,601590,665959,601590,CENTRAL STATE BANK,94317,226003,26553,99162,72,433583,0.0,72_20241231,1,1,0.16483319204109112,0.20897122625043635,<1bn
101479,NM,0.0,20241231,168974,209643,168974,BANKSOUTH,35161,68367,19983,10597,77,161340,0.0,77_20241231,1,1,0.06271379028726314,0.1809745878064081,<1bn
103750,SM,1985.0,20241231,116766,149533,116766,WARREN BANK&TRUST CO,60133,13309,217,3597,81,81404,0.0,81_20241231,1,1,0.030805200143877498,0.03266361783395851,<1bn
707055,SM,104190.0,20241231,832733,965242,832733,GENERATIONS BANK,204503,127639,0,45257,88,657920,133640.0,88_20241231,1,1,0.05434755197644383,0.05434755197644383,<1bn
688770,SM,87031.0,20241231,1096448,1289197,1096448,SIGNATURE BANK OF ARKANSAS,133228,410718,19109,21999,89,1064977,89914.0,89_20241231,1,1,0.02006387899836563,0.037491974083586274,1-10bn
225152,SM,56192.0,20241231,338721,360120,338721,COMMERCIAL BANK&TRUST CO,111373,114355,0,6752,90,222383,7042.0,90_20241231,1,1,0.019933809831690387,0.019933809831690387,<1bn
41215,NM,0.0,20241231,53119,61937,53119,RIVERSIDE BANK,1592,13654,0,618,93,50687,5796.0,93_20241231,1,1,0.01163425516293605,0.01163425516293605,<1bn
122553,NM,134.0,20241231,149773,184236,149773,BANK OF DELIGHT,10614,27603,0,4342,99,154854,6284.0,99_20241231,1,1,0.028990539015710443,0.028990539015710443,<1bn
