mu,rho,h,ratio,cash,cost_upper,cost_lower,optimizer_gap
0.1,0.0,1.0,0.05,1.0,0.05,0.05,0.0
0.1,0.0,0.5,0.05,0.5,0.030000000000000002,0.030000000000000002,0.0
0.1,0.0,0.2,0.05,0.4,0.021806000000000002,0.021806000000000002,0.0
0.1,0.0,0.1,0.05,0.30000000000000004,0.016458654280000005,0.016458654280000005,0.0
0.1,0.0,0.05,0.05,0.2,0.012864856723543403,0.012864856723543403,0.0
0.1,0.0,0.02,0.05,0.18,0.009769965284739916,0.009769965284739916,0.0
0.1,0.0,1.0,0.2,0.0,0.1,0.1,0.0
0.1,0.0,0.5,0.2,0.0,0.10000000000000003,0.10000000000000003,0.0
0.1,0.0,0.2,0.2,0.2,0.058098,0.058098,0.0
0.1,0.0,0.1,0.2,0.2,0.048477736920000014,0.048477736920000014,0.0
0.1,0.0,0.05,0.2,0.15000000000000002,0.03951252289526016,0.03951252289526016,0.0
0.1,0.0,0.02,0.2,0.14,0.03237021107112738,0.03237021107112738,0.0
0.1,0.0,1.0,0.5,0.0,0.1,0.1,0.0
0.1,0.0,0.5,0.5,0.0,0.10000000000000003,0.10000000000000003,0.0
0.1,0.0,0.2,0.5,0.0,0.09999999999999996,0.09999999999999996,0.0
0.1,0.0,0.1,0.5,0.1,0.08486784401000003,0.08486784401000003,0.0
0.1,0.0,0.05,0.5,0.1,0.07566618263578687,0.07566618263578687,0.0
0.1,0.0,0.02,0.5,0.1,0.06664321408056939,0.06664321408056939,0.0
0.1,0.01,1.0,0.05,1.0,0.050000000001,0.05,9.999986949615902e-13
0.1,0.01,0.5,0.05,0.5,0.030450000001000004,0.03045,1.0000021644085422e-12
0.1,0.01,0.2,0.05,0.4,0.022544568655231446,0.02249449336999121,5.00752852402378e-05
0.1,0.01,0.1,0.05,0.30000000000000004,0.017593578239583123,0.01750344151090772,9.013672867540234e-05
0.1,0.01,0.05,0.05,0.2288604583568536,0.014761203254349509,0.01462121274386736,0.00013999051048214917
0.1,0.01,0.02,0.05,0.18,0.012607926292072637,0.012305110850868098,0.0003028154412045396
0.1,0.01,1.0,0.2,0.0,0.10000000000100001,0.1,1.0000056338554941e-12
0.1,0.01,0.5,0.2,0.0,0.10000000000100001,0.10000000000000003,9.999778782798785e-13
0.1,0.01,0.2,0.2,0.2,0.05958252476070952,0.05955047973678002,3.204502392949865e-05
0.1,0.01,0.1,0.2,0.2,0.05005997980323055,0.05004591114601941,1.4068657211138702e-05
0.1,0.01,0.05,0.2,0.15000000000000002,0.04195599314523124,0.04192207730337032,3.391584186092367e-05
0.1,0.01,0.02,0.2,0.14,0.03603206068975248,0.03585861353243954,0.00017344715731294064
0.1,0.01,1.0,0.5,0.0,0.10000000000100001,0.1,1.0000056338554941e-12
0.1,0.01,0.5,0.5,0.0,0.10000000000100001,0.10000000000000006,9.999501227042629e-13
0.1,0.01,0.2,0.5,0.0,0.10000000000100005,0.10000000000000002,1.0000333894311098e-12
0.1,0.01,0.1,0.5,0.1,0.08731425862639883,0.08718702120811667,0.00012723741828216117
0.1,0.01,0.05,0.5,0.1,0.07868331103566936,0.07857556905356668,0.00010774198210268537
0.1,0.01,0.02,0.5,0.1,0.07101145152171592,0.07084120155973647,0.00017024996197945175
0.1,0.05,1.0,0.05,1.0,0.050000000001,0.05,9.999986949615902e-13
0.1,0.05,0.5,0.05,0.5,0.032250000001000007,0.03225,1.0000056338554941e-12
0.1,0.05,0.2,0.05,0.4,0.025281548786222425,0.025230996168236007,5.055261798641783e-05
0.1,0.05,0.1,0.05,0.30000000000000004,0.021704054647274276,0.02160999733996216,9.405730731211481e-05
0.1,0.05,0.05,0.05,0.25,0.020288871743297736,0.02011531735416521,0.0001735543891325242
