h,mu,rho,ratio,degree,cash,cost_upper,cost_lower,optimizer_gap
1.0,0.1,0.01,0.2,4096,0.0,0.10000000000100001,0.1,1.0000056338554941e-12
0.5,0.1,0.01,0.2,4096,0.0,0.10000000000100001,0.10000000000000003,9.999778782798785e-13
0.2,0.1,0.01,0.2,4096,0.2,0.059554488037819465,0.05955047973678002,4.008301039443163e-06
0.1,0.1,0.01,0.2,4096,0.2,0.05004755064097946,0.05004591114601941,1.6394949600498365e-06
0.05,0.1,0.01,0.2,4096,0.15000000000000002,0.04192592566362118,0.04192207730337032,3.848360250864602e-06
0.02,0.1,0.01,0.2,4096,0.14,0.03587812981200008,0.03585861353243954,1.9516279560538585e-05
1.0,0.1,0.05,0.2,4096,0.0,0.10000000000100001,0.1,1.0000056338554941e-12
0.5,0.1,0.05,0.2,4096,0.0,0.10000000000100001,0.10000000000000006,9.999501227042629e-13
0.2,0.1,0.05,0.2,4096,0.2,0.06509586071097265,0.06509102148750001,4.8392234726357675e-06
0.1,0.1,0.05,0.2,4096,0.2,0.05614124074317216,0.056136454966397915,4.785776774242356e-06
0.05,0.1,0.05,0.2,4096,0.15780561956531305,0.050908849452630925,0.050896342043932695,1.2507408698229916e-05
0.02,0.1,0.05,0.2,4096,0.15696279859041498,0.04749350948262139,0.04745588367953264,3.7625803088747745e-05
1.0,0.1,0.2,0.2,4096,0.0,0.10000000000100001,0.1,1.0000056338554941e-12
0.5,0.1,0.2,0.2,4096,0.0,0.10000000000100001,0.10000000000000003,9.999778782798785e-13
0.2,0.1,0.2,0.2,4096,0.2,0.08239851355618734,0.08239226880000003,6.244756187309686e-06
0.1,0.1,0.2,0.2,4096,0.2,0.07656387721736699,0.07655450642110519,9.370796261801151e-06
0.05,0.1,0.2,0.2,4096,0.2,0.07422643968589815,0.07420782771158704,1.8611974311105728e-05
0.02,0.1,0.2,0.2,4096,0.20059747405826256,0.07371119583586111,0.07368570113442043,2.549470144068422e-05
