h,mu,rho,cash,degree,lower,upper,gap,beta,floor
1.0,0.1,0.01,0.3,512,0.06999999999999999,0.070000000001,1.0000056338554941e-12,0.07000000000000016,0.0011187420807834136
1.0,0.1,0.01,0.3,1024,0.06999999999999999,0.070000000001,1.0000056338554941e-12,0.07000000000000016,0.0011187420807834136
1.0,0.1,0.01,0.3,2048,0.06999999999999999,0.070000000001,1.0000056338554941e-12,0.07000000000000016,0.0011187420807834136
1.0,0.1,0.01,0.3,4096,0.06999999999999999,0.070000000001,1.0000056338554941e-12,0.07000000000000016,0.0011187420807834136
0.5,0.1,0.01,0.3,512,0.04327,0.043270000001000015,1.000012572749398e-12,0.04327000000000013,0.0011187420807834136
0.5,0.1,0.01,0.3,1024,0.04327,0.04327000000100002,1.000019511643302e-12,0.04327000000000013,0.0011187420807834136
0.5,0.1,0.01,0.3,2048,0.04327,0.04327000000100067,1.0006648287763653e-12,0.04327000000000013,0.0011187420807834136
0.5,0.1,0.01,0.3,4096,0.04327,0.04327000000100242,1.0024203689340538e-12,0.04327000000000013,0.0011187420807834136
0.2,0.1,0.01,0.3,512,0.01083807171321923,0.010840924192184406,2.852478965175917e-06,0.010823173388445625,0.0011187420807834136
0.2,0.1,0.01,0.3,1024,0.01083807171321923,0.010839523111368049,1.4513981488190053e-06,0.010823173388445625,0.0011187420807834136
0.2,0.1,0.01,0.3,2048,0.01083807171321923,0.010838799265042911,7.275518236812134e-07,0.010823173388445625,0.0011187420807834136
0.2,0.1,0.01,0.3,4096,0.01083807171321923,0.010838501345640175,4.296324209451807e-07,0.010823173388445625,0.0011187420807834136
0.1,0.1,0.01,0.3,512,0.0025035412269488596,0.0025935782395831216,9.003701263426197e-05,0.0020972383786139327,0.0011187420807834136
0.1,0.1,0.01,0.3,1024,0.0025035412269488596,0.0025481740535472173,4.463282659835765e-05,0.0020972383786139327,0.0011187420807834136
0.1,0.1,0.01,0.3,2048,0.0025035412269488596,0.002525785385431082,2.2244158482222394e-05,0.0020972383786139327,0.0011187420807834136
0.1,0.1,0.01,0.3,4096,0.0025035412269488596,0.002514710078774107,1.116885182524726e-05,0.0020972383786139327,0.0011187420807834136
0.05,0.1,0.01,0.3,512,0.0012520533816345746,0.0014335929608261574,0.0001815395791915828,0.0003961798618040064,0.0011187420807834136
0.05,0.1,0.01,0.3,1024,0.0012520533816345746,0.0013423560417506059,9.030266011603129e-05,0.0003961798618040064,0.0011187420807834136
0.05,0.1,0.01,0.3,2048,0.0012520533816345746,0.0012970913633198744,4.503798168529983e-05,0.0003961798618040064,0.0011187420807834136
