mu,rho,h,cash,lower,upper,gap,beta,floor,moment_residual
0.05,0.0,1.0,0.1,0.045000000000000005,0.045000000000000005,0.0,0.045000000000000005,0.0,0.0
0.05,0.0,1.0,0.2,0.04000000000000001,0.04000000000000001,0.0,0.04000000000000001,0.0,0.0
0.05,0.0,1.0,0.3,0.034999999999999996,0.034999999999999996,0.0,0.034999999999999996,0.0,0.0
0.05,0.0,0.5,0.1,0.040250000000000015,0.040250000000000015,0.0,0.040250000000000015,0.0,0.0
0.05,0.0,0.5,0.2,0.03050000000000001,0.03050000000000001,0.0,0.03050000000000001,0.0,0.0
0.05,0.0,0.5,0.3,0.020750000000000008,0.020750000000000008,0.0,0.020750000000000008,0.0,0.0
0.05,0.0,0.2,0.1,0.02737809375000002,0.02737809375000002,0.0,0.02737809375000002,0.0,0.0
0.05,0.0,0.2,0.2,0.004756187500000002,0.004756187500000002,0.0,0.004756187500000002,0.0,0.0
0.05,0.0,0.2,0.3,0.0024969375000000013,0.0024969375000000013,0.0,0.0024969375000000013,0.0,0.0
0.05,0.0,0.1,0.1,0.009873693923837905,0.009873693923837905,0.0,0.009873693923837905,0.0,0.0
0.05,0.0,0.1,0.2,0.001259858333906249,0.001259858333906249,0.0,0.001259858333906249,0.0,0.0
0.05,0.0,0.1,0.3,0.00010950259597656256,0.00010950259597656256,0.0,0.00010950259597656256,0.0,0.0
0.05,0.0,0.05,0.1,0.004716272367619605,0.004716272367619605,0.0,0.004716272367619605,0.0,0.0
0.05,0.0,0.05,0.2,0.0001470123772066089,0.0001470123772066089,0.0,0.0001470123772066089,0.0,0.0
0.05,0.0,0.05,0.3,1.8506442475810553e-06,1.8506442475810553e-06,0.0,1.8506442475810553e-06,0.0,0.0
0.05,0.0,0.02,0.1,0.0010740200224576184,0.0010740200224576184,0.0,0.0010740200224576184,0.0,0.0
0.05,0.0,0.02,0.2,7.097824939280614e-07,7.097824939280614e-07,0.0,7.097824939280614e-07,0.0,0.0
0.05,0.0,0.02,0.3,3.2704937356510644e-11,3.2704937356510644e-11,0.0,3.2704937356510644e-11,0.0,0.0
0.05,0.01,1.0,0.1,0.044999999999996876,0.045000000001000004,1.0031281361122524e-12,0.045000000000000026,0.002271780286589288,8.493206138382448e-14
0.05,0.01,1.0,0.2,0.0400000000000066,0.040000000001000006,9.934067457528784e-13,0.04000000000000003,0.0007875319561206073,1.580957587066223e-13
0.05,0.01,1.0,0.3,0.03500000000000269,0.035000000000999995,9.973064041268742e-13,0.03500000000000002,0.00047410091329605497,7.327471962526033e-14
0.05,0.01,0.5,0.1,0.04029749999999703,0.04029750000100002,1.0029893582341742e-12,0.040297499999999986,0.002271780286589288,8.881784197001252e-14
0.05,0.01,0.5,0.2,0.030595000000004,0.03059500000100199,9.97989885176409e-13,0.03059499999999999,0.0007875319561206073,1.389999226830696e-13
0.05,0.01,0.5,0.3,0.020892500000002534,0.020892500001000007,9.97472937580568e-13,0.020892499999999994,0.00047410091329605497,1.3211653993039363e-13
0.05,0.01,0.2,0.1,0.02780319095503971,0.027808165793038592,4.97483799888343e-06,0.027778123886273758,0.002271780286589288,4.587441537751147e-13
